Restaurant Name,Category,Website,Phone,Address,City,State,Zip Code,Location,Notes
Zabb PuTawn,Thai,https://www.zabbputawnthai.com,2129888800,1584 1st Ave New York,New York,NY,10028,"40.774659216691425, -73.95071694449008",71st - 92nd; 5th to FDR
Ollie's,Chinese,https://ollieseats.com/ollies-chinese-food-nyc-upper-west-side,2129323300,2705 Broadway,New York,NY,10025,"40.79968140153006, -73.96877176168047",
Amura Japanese Restaurant,Japanese,https://www.amurasushi.com/,2127721688,1567 2nd Ave,New York,NY,10028,"40.77516416586358, -73.95415793284614",
Miss Wonton NYC,Chinese,https://www.misswontonnyc.com/,2127252800,1409 York Ave,New York,NY,10021,"40.76919172954547, -73.95254400401085",2 Mile Radius
Wok88,Chinese,https://www.wok88inc.com/,2128288688,1570 3rd Ave,New York,NY,10128,"40.78054910454302, -73.95317150401026",28 Street Radius
Luke's Bar & Grill,American,https://lukesbarandgrill.com/,2122497070,1394 3rd Ave,New York,NY,10075,"40.774833340999336, -73.957353375175",Deliveries are served from 96th Street down to 65th Street and from 5th Ave to York Ave.
Wrap‑N‑Run Grill,American,http://orderwrapnrun.com/,2127441588,1125 Lexington Ave,New York,NY,10075,"40.77452534261493, -73.95913579051734",
Koo Thai,Thai,https://koothainy.com/,6464904608,1758 1st Ave,New York,NY,10128,"40.78027712924875, -73.94662701750342",
Bua Thai Ramen & Robata Grill,Thai,https://buathairamennyc.com/,2128797999,1611 2nd Avenue,New York,NY,10028,"40.77652421340415, -73.95317263284606",Delivery Fee depends on location
Effy's Cafe,Mediterranean ,https://effyscafe.com/,2122806200,1688 York Ave,New York,NY,10128,"40.777729210751325, -73.94558700401043",
Finestra,Italian,https://www.finestrarestaurant.com/,2127178595,1370 York Avenue ,New York,NY,10021,"40.767665932903945, -73.95282861750412",
Pinocchio,Italian,https://www.pinocchiorestaurantnyc.com/,2128285810,300 East 92nd Street,New York,NY,10128,"40.78164674577692, -73.94873344818821",
Tang's Garden,Chinese,https://www.tangtangnyc.com/,2122492102,1328 Third Avenue,New York,NY,10021,"40.7724810974884, -73.95903720401066",
Harlem Shake,American,https://harlemshake.com/,2122228300,100 W 124th St,New York,NY,10027,"40.807329232776766, -73.9463163463377",
Gracie Mews Diner,American,https://www.graciemewsdinernyc.com/,2128612290,1550 1st Ave,New York,NY,10028,"40.77370206909731, -73.95163170401058",
Hatsuhana,Japanese,https://www.hatsuhana.com/,2123553345,17 E 48th St,New York,NY,10017,"40.757186082899025, -73.97693003284712",
Sushi Yasaka,Japanese,https://www.yasaka.nyc/,2124968460,251 W 72nd St,New York,NY,10023,"40.7798017028543, -73.98341117517465",
Noche Mexicana,Mexican,https://noche-mexicana.com/,2126626900,842 Amsterdam Ave,New York,NY,10025,"40.79766482073262, -73.96822810400938",
Manhattan Valley Indian,Indian,https://manhattanvalleyny.com/,2122229222,2636 Broadway,New York,NY,10025,"40.79713516801987, -73.969717232845",
Miyako Sushi,Japanese,https://www.miyakosushinyc.com/,2127243448,642 Amsterdam Ave,New York,NY,10025,"40.79133878078524, -73.97284247517409",
Malecon,Dominican,https://www.maleconnyc.com/,2128645648,764 Amsterdam Ave,New York,NY,10025,"40.795235783597704, -73.96989817517384",
New Cottage,Chinese,https://order.online/en-US/store/new-cottage-33622801,2125957450,2199 Broadway,New York,NY,10024,"40.78331567471751, -73.98083139051694",
Mimi's Pizza,Italian,https://www.mimispizzaeast86.com/,6468612518,217 E 86th St,New York,NY,10028,"40.77882297835669, -73.95291523284597","Covering 80th to 102nd Streets, East End to 5th Avenue"
Nick's Pizza,Italian,https://www.nicksnyc.com/,2129875700,1814 2nd Ave,New York,NY,10128,"40.782870523221455, -73.94777511750337",
Patsy's Pizzeria,Italian,https://www.patsyspizzerianyc.com/,2126889707,206 E 60th St,New York,NY,10022,"40.76191296651473, -73.96570268866884",
Congee Village,Chinese,https://congeenyc.com/,2129411818,100 Allen Street,New York,NY,10002,"40.7188208403639, -73.99032648867112",
Baji Baji,Chinese,https://www.getsauce.com/order/site/baji-baji,2127773888,145 1st Ave,New York,NY,10003,"40.72835279352479, -73.98514054634188",
Ikyu,Japanese,https://www.ikyuny.com/,2125008699,1718 2nd Ave,New York,NY,10128,"40.780038557398086, -73.95006643284587",
Bigoi Venezia,Italian,https://bigoivenezia.com/,9172620680,1415 2nd Ave,New York,NY,10021,"40.77021665262656, -73.95776590401088",
Wa Jeal,Chinese,http://www.wajeal.com/,2123963339,1588 2nd Avenue,New York,NY,10028,"40.775534040271, -73.9531733463393",
Caffe Buon Gusto,Italian,https://www.caffebuongusto.nyc/,2125356884,236 E 77th St,New York,NY,10075,"40.77244127252363, -73.95718886168189",
York Ave Pizza,Italian,https://www.yorkavepizza.com/,2127444000,434 E 72nd St,New York,NY,10021,"40.7670384114653, -73.95437446168224",
Green Kitchen,American,https://greenkitchennyc.com/,2122883134,1325 2nd Ave,New York,NY,10021,"40.767545404865324, -73.95958898866851",
Yia Yia's,Greek,https://www.yiayiasnyc.com/,2124521210,404 E 69th St,New York,NY,10021,"40.765807666385335, -73.95711093284658",
Javelina,Tex-Mex,https://www.javelinatexmex.com/location/javelina-upper-east-side/,9172617011,1395 2nd Ave,New York,NY,10021,"40.7695394813145, -73.95823710401082",
Due,Italian,https://www.duenyc.com/,2127723331,1396 3rd Ave #1,New York,NY,10075,"40.77484944186181, -73.95732343284611",
Tikal Mayan Food,Guatemalan,https://www.tikalmayanfood.com/,2128371911,1393 2nd Ave,New York,NY,10021,"40.76940437647953, -73.95835916168198",
Burger One,American,https://www.getsauce.com/order/burger-one/menu/popular-items-tems,2127370095,1150 Lexington Ave,New York,NY,10075,"40.77553689089234, -73.95871068866815",
Dado's Pizza and Taproom Harlem,Italian,https://www.dadospizza.com/,6465471414,341 St Nicholas Ave,New York,NY,10027,"40.812377174805256, -73.95162804633736",
Gino's Pizza,Italian,https://www.orderginospizzamenu.com/,2127175336,345 E 83rd St,New York,NY,10028,"40.77555538711861, -73.95140438866808",
Lena's Italian Kitchen,Italian,www.lenasitaliankitchen.com,2127255362,1167 2nd Avenue,New York,NY,10065,"40.76245454437414, -73.96360996168242",
Hunan Delight Matsuya,Chinese,https://hunan78.com/,2126288161,1467 York Avenue,New York,NY,10075,"40.77091110254711, -73.95126213284638",$10 Minimum
Fine Food Cuisine,American,https://drafink.wixsite.com/finefoodcuisine,3322782414,227 E 116th St,New York,NY,10029,"40.79781043242144, -73.93876093284504",Delivery all through Harlem and The Bronx
La Nostra Pizzeria,Italian,https://lanostrapizzeriany.com/,2123693694,2146 2nd Ave,New York,NY,10029,"40.7933377889387, -73.94012908866708",
Chu Ros Thai,Thai,https://churosthainyc.com/,3476677623,1590 Lexington Ave,New York,NY,10029,"40.789466576844845, -73.9487900770234",